date_added	word	part_of_speech	definition	example	
01/25/13	pejorative	adjective	derogatory, uncomplimentary	The evening’s headline news covered an international scandal caused by a pejorative statement the famous senator had made in reference to a foreign leader	
01/28/13	punctilious	adjective	eager to follow rules or conventions	Punctilious Bobby, hall monitor extraordinaire, insisted that his peers follow the rules	
01/29/13	rebuke	verb	to scold, criticize	When the cops showed up at Sarah’s party, they rebuked her for disturbing the peace	
01/30/13	vitriolic	adjective	having a caustic quality	When angry, the woman would spew vitriolic insults	
01/31/13	diaphanous	adjective	light, airy, transparent	Sunlight poured in through the diaphanous curtains, brightening the room	
02/01/13	ignominious	adjective	humiliating, disgracing	It was really ignominious to be kicked out of the dorm for having an illegal gas stove in my room	
02/04/13	vituperate	verb	to berate	Jack ran away as soon as his father found out, knowing he would be vituperated for his unseemly behavior	
02/05/13	temerity	noun	audacity, recklessness	Tom and Huck entered the scary cave armed with nothing but their own temerity	
02/06/13	pertinacious	adjective	shrewdness, perceptiveness	Harry’s parents were frustrated with his pertinacious insistence that a monster lived in his closet	
02/07/13	pallid	adjective	lacking color	Dr. Van Helsing feared that Lucy’s pallid complexion was due to an unexplained loss of blood	
02/08/13	extant	adjective	existing, not destroyed or lost	My mother’s extant love letters to my father are in the attic trunk	
02/11/13	opulent	adjective	characterized by rich abundance verging on ostentation	The opulent furnishings of the dictator’s private compound contrasted harshly with the meager accommodations of her subjects	
02/12/13	turgid	adjective	swollen, excessively embellished in style or language	The haughty writer did not realize how we all really felt about his turgid prose	
02/13/13	unctuous	adjective	smooth or greasy in texture, appearance, manner	The unctuous receptionist seemed untrustworthy, as if she was only being helpful because she thought we might give her a big tip	
02/14/13	harangue	noun	a ranting speech	Everyone had heard the teacher’s harangue about gum chewing in class before	
02/15/13	buttress	verb	to support, hold up	The column buttresses the roof above the statue	
02/25/13	recalcitrant	adjective	defiant, unapologetic	Even when scolded, the recalcitrant young girl simply stomped her foot and refused to finish her lima beans	
02/26/13	vilify	verb	to lower in importance, defame	After the Watergate scandal, almost any story written about President Nixon sought to vilify him and criticize his behavior	
02/27/13	impetuous	adjective	rash	 hastily done	Hilda’s hasty slaying of the king was an impetuous, thoughtless action
02/28/13	impertinent	adjective	rude, insolent	Most of your comments are so impertinent that I don’t wish to dignify them with an answer	
03/01/13	sacrosanct	adjective	holy, something that should not be criticized	In the United States, the Constitution is often thought of as a sacrosanct document	
03/04/13	effulgent	adjective	radiant, splendorous	The golden palace was effulgent	
03/05/13	enervate	verb	to weaken, exhaust	Writing these sentences enervates me so much that I will have to take a nap after I finish	
03/06/13	pellucid	adjective	easily intelligible, clear	Wishing his book to be pellucid to the common man, Albert Camus avoided using complicated grammar when composing The Stranger	
03/07/13	vicissitude	noun	event that occurs by chance	The vicissitudes of daily life prevent me from predicting what might happen from one day to the next	
03/08/13	tenuous	adjective	having little substance or strength	Your argument is very tenuous, since it relies so much on speculation and hearsay	
03/11/13	anathema	noun	a cursed, detested person	I never want to see that murderer, who is an anathema to me	
03/12/13	repudiate	verb	to reject, refuse to accept	Kwame made a strong case for an extension of his curfew, but his mother repudiated it with a few biting words	
03/13/13	spurious	adjective	false but designed to seem plausible	Using a spurious argument, John convinced the others that he had won the board game on a technicality	
03/14/13	demure	adjective	quiet, modest, reserved	Though everyone else at the party was dancing and going crazy, she remained demure	
03/15/13	cursory	adjective	brief to the point of being superficial	Late for the meeting, she cast a cursory glance at the agenda	
03/18/13	iconoclast	noun	one who attacks common beliefs or institutions	Jane goes to one protest after another, but she seems to be an iconoclast rather than an activist with a progressive agenda	
03/19/13	paucity	adjective	small in quantity	Gilbert lamented the paucity of twentieth-century literature courses available at the college	
03/20/13	quagmire	noun	a difficult situation	We’d all like to avoid the kind of military quagmire characterized by the Vietnam War	
03/21/13	mercurial	adjective	characterized by rapid change or temperamentality	Though he was widely respected for his mathematical proofs, the mercurial genius was impossible to live with	
03/22/13	surfeit	noun	an overabundant supply or indulgence	After partaking of the surfeit of tacos and tamales at the All-You-Can-Eat Taco Tamale Lunch Special, Beth felt rather sick	
04/03/13	vapid	adjective	lacking liveliness, dull	The professor’s comments about the poem were surprisingly vapid and dull	
04/04/13	perspicacity	adjective	shrewdness, perceptiveness	The detective was too humble to acknowledge that his perspicacity was the reason for his professional success	
04/05/13	desecrate	verb	to violate the sacredness of a thing or place	They feared that the construction of a golf course would desecrate the preserved wilderness	
04/08/13	solicitous	adjective	concerned, attentive	Jim, laid up in bed with a nasty virus, enjoyed the solicitous attentions of his mother, who brought him soup and extra blankets	
04/09/13	aspersion	noun	a curse, expression of ill-will	The rival politicians repeatedly cast aspersions on each others’ integrity	
04/10/13	adumbrate	verb	to sketch out in a vague way	The coach adumbrated a game plan, but none of the players knew precisely what to do	
04/11/13	verdant	adjective	green in tint or color	The verdant leaves on the trees made the world look emerald	
04/12/13	rancor	noun	deep, bitter resentment	When Eileen challenged me to a fight, I could see the rancor in her eyes	
04/15/13	antipathy	noun	a strong dislike, repugnance	I know you love me, but because you are a liar and a thief, I feel nothing but antipathy for you	
04/16/13	salient	adjective	significant, conspicuous	One of the salient differences between Alison and Nancy is that Alison is a foot taller	
04/17/13	obfuscate	verb	to render incomprehensible	The detective did not want to answer the newspaperman’s questions, so he obfuscated the truth	
04/18/13	impinge	verb	to impact, affect, make an impression	The hail impinged the roof, leaving large dents	
04/19/13	florid	adjective	flowery, ornate	The writer’s florid prose belongs on a sentimental Hallmark card	
04/22/13	egregious	adjective	extremely bad	The student who threw sloppy joes across the cafeteria was punished for his egregious behavior	
04/23/13	extol	verb	to praise, revere	Violet extolled the virtues of a vegetarian diet to her meat-loving brother	
04/24/13	blandish	verb	to coax by using flattery	Rachel’s assistant tried to blandish her into accepting the deal	
04/25/13	munificence	noun	generosity in giving	The royal family’s munificence made everyone else in their country rich	
04/26/13	puerile	adjective	juvenile, immature	The judge demanded order after the lawyer’s puerile attempt to object by stomping his feet on the courtroom floor	
04/29/13	decry	verb	to criticize openly	The kind video rental clerk decried the policy of charging customers late fees	
04/30/13	prescient	adjective	to have foreknowledge of events	Questioning the fortune cookie’s prediction, Ray went in search of the old hermit who was rumored to be prescient	
05/01/13	morass	noun	a wet swampy bog; figuratively, something that traps and confuses	When Theresa lost her job, she could not get out of her financial morass	
05/02/13	capricious	adjective	subject to whim, fickle	The young girl’s capricious tendencies made it difficult for her to focus on achieving her goals	
05/03/13	inveterate	adjective	stubbornly established by habit	I’m the first to admit that I’m an inveterate coffee drinker—I drink four cups a day	
05/06/13	fetid	adjective	having a foul odor	I can tell from the fetid smell in your refrigerator that your milk has spoiled	
05/07/13	restive	adjective	resistant, stubborn, impatient	The restive audience pelted the band with mud and yelled nasty comments	
05/08/13	insidious	adjective	appealing but imperceptibly harmful, seductive	Lisa’s insidious chocolate cake tastes so good but makes you feel so sick later on!	
05/09/13	perfidious	adjective	disloyal, unfaithful	After the official was caught selling government secrets to enemy agents, he was executed for his perfidious ways	
05/10/13	evince	verb	to show, reveal	Christopher’s hand-wringing and nail-biting evince how nervous he is about the upcoming English test	
05/13/13	transmute	verb	to change or alter in form	Ancient alchemists believed that it was possible to transmute lead into gold	
05/14/13	sanctimonious	adjective	giving a hypocritical appearance of piety	The sanctimonious Bertrand delivered stern lectures on the Ten Commandments to anyone who would listen, but thought nothing of stealing cars to make some cash on the side	
05/15/13	upbraid	verb	to criticize or scold severely	The last thing Lindsay wanted was for Lisa to upbraid her again about missing the rent payment	
05/16/13	protean	adjective	able to change shape	 displaying great variety	Among Nigel’s protean talents was his ability to touch the tip of his nose with his tongue
05/17/13	boon	noun	a gift or blessing	The good weather has been a boon for many businesses located near the beach	
05/20/13	deprecate	verb	to belittle, depreciate	Always over-modest, he deprecated his contribution to the local charity	
05/21/13	ruse	noun	a trick	Oliver concocted an elaborate ruse for sneaking out of the house to meet his girlfriend while simultaneously giving his mother the impression that he was asleep in bed	
05/22/13	pithy	adjective	concisely meaningful	My father’s long-winded explanation was a stark contrast to his usually pithy statements	
05/23/13	sycophant	noun	one who flatters for self-gain	Some see the people in the cabinet as the president’s closest advisors, but others see them as sycophants	
05/24/13	turpitude	noun	depravity, moral corruption	Sir Marcus’s chivalry often contrasted with the turpitude he exhibited with the ladies at the tavern	
05/28/13	exculpate	verb	to free from guilt or blame, exonerate	My discovery of the ring behind the dresser exculpated me from the charge of having stolen it	
05/29/13	implacable	adjective	incapable of being appeased or mitigated	Watch out: Once you shun Grandma’s cooking, she is totally implacable	
05/30/13	dither	verb	to be indecisive	Not wanting to offend either friend, he dithered about which of the two birthday parties he should attend	
05/31/13	garrulous	adjective	talkative, wordy	Some talk-show hosts are so garrulous that their guests can’t get a word in edgewise	
06/03/13	reprobate	adjective	evil, unprincipled	The reprobate criminal sat sneering in the cell	
06/04/13	primeval	adjective	original, ancient	The first primates to walk on two legs, called Australopithecus, were the primeval descendants of modern man	
06/05/13	jubilant	adjective	extremely joyful, happy	The crowd was jubilant when the firefighter carried the woman from the flaming building	
06/06/13	pulchritude	noun	physical beauty	Several of Shakespeare’s sonnets explore the pulchritude of a lovely young man	
06/07/13	cajole	verb	to urge, coax	Fred’s buddies cajoled him into attending the bachelor party	
06/10/13	assiduous	adjective	hard-working, diligent	The construction workers erected the skyscraper during two years of assiduous labor	
06/11/13	legerdemain	noun	deception, slight-of-hand	Smuggling the French plants through customs by claiming that they were fake was a remarkable bit of legerdemain	
06/12/13	variegated	adjective	diversified, distinctly marked	Each wire in the engineering exam was variegated by color so that the students could figure out which one was which	
06/13/13	acumen	noun	keen insight	Because of his mathematical acumen, Larry was able to figure out in minutes problems that took other students hours	
06/14/13	gregarious	adjective	drawn to the company of others, sociable	Well, if you’re not gregarious, I don’t know why you would want to go to a singles party!	
06/17/13	ingenuous	adjective	not devious	 innocent and candid	He must have writers, but his speeches seem so ingenuous it’s hard to believe he’s not speaking from his own heart
06/18/13	concomitant	adjective	accompanying in a subordinate fashion	His dislike of hard work carried with it a concomitant lack of funds	
06/19/13	somnolent	adjective	sleepy, drowsy	The somnolent student kept falling asleep and waking up with a jerk	
06/20/13	neophyte	noun	someone who is young or inexperienced	As a neophyte in the literary world, Malik had trouble finding a publisher for his first novel	
06/21/13	stupefy	verb	to astonish, make insensible	Veronica’s audacity and ungratefulness stupefied her best friend, Heather	
06/24/13	wistful	adjective	full of yearning	 musingly sad	Since her pet rabbit died, Edda missed it terribly and was wistful all day long
06/25/13	portent	noun	an omen	When a black cat crossed my sister’s path while she was walking to school, she took it as a portent that she would do badly on her spelling test	
06/26/13	multifarious	adjective	having great diversity or variety	This Swiss Army knife has multifarious functions and capabilities	
